ParsecTools,s,0,0
configurator,s,1,0
vector-sized,s,0,0
storable-complex,s,0,0
crypto-cipher-types,s,0,0
cheapskate-lucid,s,0,0
FenwickTree,s,0,0
hidapi,s,0,0
tasty-expected-failure,s,0,0
SegmentTree,s,0,0
pipes-group,s,0,0
ghost-buster,s,1,0
postgresql-libpq,s,0,0
youtube,s,0,0
soap,s,1,0
hmatrix-morpheus,s,1,0
haxl,s,1,0
bindings-uname,s,0,0
abstract-deque,s,0,0
servant-client,s,1,0
vector-mmap,s,1,0
timezone-series,s,0,0
monads-tf,s,0,0
freer-simple,s,1,0
unordered-containers,s,6,0
google-oauth2-jwt,s,0,0
conduit-connection,s,1,0
hspec,s,1,0
atomic-write,s,1,0
cipher-rc4,s,1,0
pipes-wai,s,0,0
managed,s,0,0
barrier,s,0,0
vector-builder,s,0,0
network-simple,s,0,0
text,s,0,0
frisby,s,0,0
wave,s,1,0
uncertain,s,0,0
probability,s,0,0
world-peace,s,1,0
extractable-singleton,s,0,0
haskell-src-exts-util,s,0,0
hspec-meta,s,0,0
pipes-fluid,s,1,0
yesod-auth-hashdb,s,2,0
composable-associations,s,1,0
pem,s,1,0
cryptonite-openssl,s,1,0
io-manager,s,0,0
vector-space,s,0,0
HSvm,s,0,0
hexstring,s,1,0
protocol-buffers,s,0,0
unfoldable,s,0,0
http-common,s,0,0
servant-cassava,s,1,0
cpuinfo,s,0,0
byteset,s,0,0
open-witness,s,1,0
adjunctions,s,1,0
fclabels,s,1,0
network-transport-tests,s,0,0
generic-arbitrary,s,0,0
tasty-kat,s,1,0
hs-bibutils,s,0,0
dependent-map,s,0,0
cased,s,0,0
tcp-streams-openssl,s,1,0
cryptohash-md5,s,0,0
basic-prelude,s,0,0
monad-logger-syslog,s,0,0
xml-lens,s,0,0
mmark,s,1,0
storable-record,s,0,0
unix-bytestring,s,0,0
typography-geometry,s,0,0
primes,s,0,0
partial-order,s,0,0
binary-list,s,0,0
flac,s,1,0
splice,s,0,0
cron,s,1,0
references,s,1,0
string-qq,s,0,0
snowflake,s,0,0
mysql-haskell-nem,s,0,0
io-choice,s,1,0
large-hashable,s,1,0
composition,s,0,0
invariant,s,1,0
lift-generics,s,1,0
prelude-safeenum,s,0,0
oeis,s,1,0
sum-type-boilerplate,s,1,0
hspec-golden-aeson,s,1,0
markdown-unlit,s,1,0
typelits-witnesses,s,0,0
